"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.*",
"'SA","'Adelaide","'YPAD","'Y","'Y","'Y","'Y","'Y","'(08) 8150 3800","'N",
"'SA","'Adelaide/Parafield","'YPPF","'Y","'N","'Y","'Y","'Y","'(08) 8150 3813","'N",
"'WA","'Albany","'YABA","'Y","'N","'Y","'Y","'Y","'(08) 6216 2600","'Y",
"'NSW","'Albury","'YMAY","'Y","'N","'Y","'Y","'Y","'(02) 9353 6400","'Y",
"'NT","'Alice Springs","'YBAS","'Y","'N","'Y","'Y","'Y","'(08) 7922 2500","'Y",
"'QLD","'Amberley","'YAMB","'Y","'Y**","'Y","'Y","'Y","'(07) 3564 3700","'Y",
"'WA","'Argyle","'YARG","'Y","'N","'Y","'Y","'Y","'(08) 6216 2601","'N",
"'NSW","'Armidale","'YARM","'Y","'N","'Y","'Y","'Y","'(02) 9353 6401","'Y",
"'VIC","'Avalon","'YMAV","'Y","'N","'Y","'Y","'Y","'(03) 8470 3200","'Y",
"'NT","'Ayers Rock/Connellan (Yulara)","'YAYE","'Y","'N","'Y","'Y","'Y","'(08) 7922 2516","'Y",
"'VIC","'Bairnsdale","'YBNS","'Y","'N","'Y","'Y","'Y","'(03) 8470 3201","'N",
"'VIC","'Ballarat","'YBLT","'Y","'N","'Y","'Y","'Y","'(03) 8470 3202","'Y",
"'QLD","'Ballera","'YLLE","'Y","'N","'Y","'Y","'Y","'(07) 3564 3702","'Y",
"'NSW","'Ballina/Byron Gateway","'YBNA","'Y","'N","'Y","'Y","'Y","'(02) 9353 6402","'Y",
"'WA","'Barimunya","'YBRY","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'WA","'Barrow Island","'YBWX","'Y","'N","'Y","'N","'N","'(08) 6216 2602","'Y",
"'NSW","'Bathurst","'YBTH","'Y","'N","'Y","'Y","'Y","'(02) 9353 6404","'Y",
"'NT","'Bathurst Island (Nguiu)","'YBTI","'Y","'N","'N","'N","'N","'N","'N",
