"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.",
"'QLD","'Gladstone","'YGLA","'Y","'N","'Y","'Y","'Y","'(07) 3564 3715","'Y",
"'NSW","'Glen Innes","'YGLI","'Y","'N","'Y","'Y","'Y","'(02) 9353 6421","'N",
"'QLD","'Gold Coast","'YBCG","'Y","'Y","'Y","'Y","'Y","'(07) 3564 3713","'Y",
"'WA","'Golden Grove","'YGGE","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'QLD","'Goondiwindi","'YGDI","'N","'N","'Y","'N","'N","'N","'N",
"'NSW","'Goulburn","'YGLB","'Y","'N","'Y","'Y","'Y","'(02) 9353 6422","'Y",
"'NT","'Gove","'YPGV","'Y","'N","'Y","'Y","'Y","'(08) 7922 2505","'Y",
"'NSW","'Grafton","'YGFN","'Y","'N","'Y","'Y","'Y","'(02) 9353 6423","'Y",
"'NSW","'Griffith","'YGTH","'Y","'N","'Y","'Y","'Y","'(02) 9353 6424","'Y",
"'NT","'Groote Eylandt","'YGTE","'Y","'N","'Y","'Y","'Y","'(08) 7922 2506","'Y",
"'WA","'Gudai-Darri Mine","'YKDD","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'NSW","'Gunnedah","'YGDH","'N","'N","'Y","'N","'N","'(02) 9353 6425","'N",
"'WA","'Halls Creek","'YHLC","'Y","'N","'Y","'Y","'Y","'(08) 6216 2617","'N",
"'VIC","'Hamilton","'YHML","'Y","'N","'Y","'N","'N","'(03) 8470 3208","'Y",
"'QLD","'Hamilton Island","'YBHM","'Y","'N","'Y","'Y","'Y","'(07) 3564 3716","'Y",
"'NSW","'Hay","'YHAY","'N","'N","'Y","'Y","'Y","'(02) 9353 6426","'N",
"'QLD","'Heron Island","'YHRN","'N","'N","'Y","'N","'N","'N","'N",
"'QLD","'Hervey Bay","'YHBA","'Y","'N","'Y","'Y","'Y","'(07) 3564 3717","'Y",
"'TAS","'Hobart","'YMHB","'Y","'Y","'Y","'Y","'Y","'(03) 6283 8602","'Y",
"'NSW","'Holsworthy","'YSHW","'Y","'N","'Y","'Y","'Y","'(02) 9353 6427","'N",
