"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.*",
"'NSW","'Tibooburra","'YTIB","'N","'N","'Y","'N","'N","'(02) 9353 6454","'N",
"'NT","'Tindal","'YPTN","'Y","'Y** |","'Y","'Y","'Y","'(08) 7922 2514","'Y",
"'QLD","'Toowoomba","'YTWB","'Y","'N","'Y","'Y","'Y","'(07) 3564 3742","'Y",
"'QLD","'Townsville/ Townsville INTL","'YBTL","'Y","'Y** I","'Y","'Y","'Y","'(07) 3564 3743","'Y",
"'QLD","'Trepell","'YTEE","'Y","'N","'Y","'Y","'Y","'(07) 3564 3744","'Y",
"'WA","'Tropicana","'YTRA","'Y","'N","'Y","'Y","'Y","'(08) 6216 2639","'Y",
"'NT","'Troughton Island","'YTTI","'N","'N","'Y","'N","'N","'N","'N",
"'WA","'Truscott-Mungalalu","'YTST","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'NT","'Victoria River Downs","'YVRD","'N","'N","'Y","'N","'N","'(08) 7922 2515","'N",
"'NSW","'Wagga Wagga","'YSWG","'Y","'N","'Y","'Y","'Y","'(02) 9353 6455","'Y",
"'NSW","'Walgett","'YWLG","'Y","'N","'Y","'Y","'Y","'(02) 9353 6456","'Y",
"'VIC","'Wangaratta","'YWGT","'Y","'N","'Y","'Y","'Y","'(03) 8470 3222","'Y",
"'WA","'Warburton","'YWBR","'Y","'N","'Y","'N","'N","'(08) 6216 2640","'N",
"'VIC","'Warracknabeal","'YWKB","'N","'N","'Y","'N","'N","'(03) 8470 3223","'N",
"'VIC","'Warrnambool","'YWBL","'Y","'N","'Y","'Y","'Y","'(03) 8470 3224","'Y",
"'QLD","'Weipa","'YBWP","'Y","'N","'Y","'Y","'Y","'(07) 3564 3745","'Y",
"'WA","'West Angelas","'YANG","'Y","'N","'Y","'Y","'Y","'(08) 6332 8175","'Y",
"'NSW","'West Wyalong","'YWWL","'N","'N","'Y","'N","'N","'(02) 9353 6457","'N",
"'SA","'Whyalla","'YWHA","'Y","'N","'Y","'Y","'Y","'(08) 8150 3819","'Y",
"'NSW","'Wilcannia","'YWCA","'N","'N","'Y","'N","'N","'(02) 9353 6459","'Y",
"'QLD","'Williamson","'YWIS","'N","'N","'Y","'N","'N","'(07) 3564 3747","'N",
"'NSW","'Williamtown","'YWLM","'Y","'Y**","'Y","'Y","'Y","'(02) 9353 6460","'Y",
"'WA","'Wiluna","'YWLU","'Y","'N","'N","'Y","'Y","'(08) 6216 2641","'N",
"'QLD","'Windorah","'YWDH","'Y","'N","'Y","'Y","'Y","'N","'N",
"'QLD","'Winton","'YWTN","'Y","'N","'Y","'N","'N","'N","'N",
"'SA","'Woomera","'YPWR","'Y","'N","'Y","'Y","'Y","'(08) 8150 3820","'N",
"'SA","'Wudinna","'YWUD","'N","'N","'Y","'N","'N","'(08) 8150 3821","'N",
"'WA","'Wyndham","'YWYM","'N","'N","'Y","'N","'N","'(08) 6216 2642","'N",
"'TAS","'Wynyard","'YWYY","'Y","'N","'Y","'Y","'Y","'(03) 6283 8608","'Y",
"'VIC","'Yarram","'YYRM","'N","'N","'Y","'N","'N","'(03) 8470 3225","'Y",
"'VIC","'Yarrawonga","'YYWG","'N","'N","'Y","'N","'N","'N","'N",
"'NSW","'Young","'YYNG","'Y","'N","'Y","'Y","'Y","'(02) 9353 6462","'Y",
"'NT","'Yuendumu","'YYND","'Y","'N","'N","'N","'N","'N","'N",
"'SA","'Yunta","'YYUN","'N","'N","'Y","'N","'N","'N","'N",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'94.18945313","'95.50781250","'93.65234375","'93.11523438","'94.77539063","'93.50585938","'96.24023438","'94.48242188","'95.41015625","'92.57812500",
"'89.89257813","'91.16210938","'89.35546875","'88.86718750","'90.47851563","'89.20898438","'91.84570313","'90.18554688","'91.06445313","'88.33007813",
"'92.13867188","'93.40820313","'91.60156250","'91.06445313","'92.72460938","'91.45507813","'94.14062500","'92.43164063","'93.31054688","'90.57617188",
"'92.33398438","'93.60351563","'91.79687500","'91.25976563","'92.91992188","'91.65039063","'94.33593750","'92.62695313","'93.50585938","'90.72265625",
"'92.87109375","'94.14062500","'92.28515625","'91.74804688","'93.40820313","'92.13867188","'94.82421875","'93.11523438","'94.04296875","'91.25976563",
"'93.26171875","'94.58007813","'92.72460938","'92.18750000","'93.84765625","'92.57812500","'95.26367188","'93.55468750","'94.48242188","'91.65039063",
"'91.84570313","'93.06640625","'91.25976563","'90.77148438","'92.38281250","'91.11328125","'93.79882813","'92.08984375","'93.01757813","'90.23437500",
"'91.74804688","'92.96875000","'91.16210938","'90.67382813","'92.28515625","'91.01562500","'93.70117188","'91.99218750","'92.91992188","'90.13671875",
"'93.35937500","'94.67773438","'92.82226563","'92.28515625","'93.94531250","'92.67578125","'95.36132813","'93.65234375","'94.58007813","'91.74804688",
"'92.33398438","'93.60351563","'91.79687500","'91.25976563","'92.91992188","'91.65039063","'94.33593750","'92.62695313","'93.50585938","'90.72265625",
"'92.08984375","'93.35937500","'91.55273438","'91.01562500","'92.67578125","'91.40625000","'94.09179688","'92.38281250","'93.26171875","'90.52734375",
"'92.38281250","'93.65234375","'91.84570313","'91.30859375","'92.96875000","'91.69921875","'94.38476563","'92.67578125","'93.55468750","'90.77148438",
"'92.48046875","'93.75000000","'91.89453125","'91.40625000","'93.06640625","'91.79687500","'94.48242188","'92.77343750","'93.65234375","'90.86914063",
"'91.89453125","'93.16406250","'91.35742188","'90.82031250","'92.48046875","'91.21093750","'93.89648438","'92.18750000","'93.06640625","'90.33203125",
"'91.60156250","'92.87109375","'91.01562500","'90.52734375","'92.13867188","'90.86914063","'93.55468750","'91.89453125","'92.77343750","'89.99023438",
"'90.96679688","'92.23632813","'90.42968750","'89.89257813","'91.55273438","'90.28320313","'92.91992188","'91.25976563","'92.13867188","'89.40429688",
"'92.82226563","'94.09179688","'92.23632813","'91.69921875","'93.35937500","'92.08984375","'94.77539063","'93.11523438","'93.99414063","'91.21093750",
"'91.84570313","'93.06640625","'91.25976563","'90.77148438","'92.38281250","'91.11328125","'93.79882813","'92.08984375","'93.01757813","'90.23437500",
"'91.45507813","'92.72460938","'90.86914063","'90.38085938","'91.99218750","'90.77148438","'93.40820313","'91.74804688","'92.62695313","'89.84375000",
"'91.16210938","'92.43164063","'90.62500000","'90.08789063","'91.74804688","'90.47851563","'93.11523438","'91.45507813","'92.33398438","'89.59960938",
"'92.52929688","'93.79882813","'91.94335938","'91.45507813","'93.11523438","'91.79687500","'94.48242188","'92.82226563","'93.70117188","'90.91796875",
"'91.89453125","'93.11523438","'91.30859375","'90.77148438","'92.43164063","'91.16210938","'93.84765625","'92.13867188","'93.01757813","'90.28320313",
"'90.77148438","'91.99218750","'90.18554688","'89.69726563","'91.30859375","'90.03906250","'92.67578125","'91.01562500","'91.89453125","'89.16015625",
"'89.79492188","'91.06445313","'89.25781250","'88.76953125","'90.38085938","'89.11132813","'91.74804688","'90.08789063","'90.96679688","'88.23242188",
"'91.89453125","'93.16406250","'91.35742188","'90.82031250","'92.48046875","'91.21093750","'93.89648438","'92.18750000","'93.06640625","'90.33203125",
"'91.94335938","'93.21289063","'91.40625000","'90.86914063","'92.52929688","'91.25976563","'93.94531250","'92.23632813","'93.11523438","'90.38085938",
"'91.11328125","'92.38281250","'90.57617188","'90.03906250","'91.69921875","'90.42968750","'93.06640625","'91.40625000","'92.28515625","'89.55078125",
"'91.94335938","'93.21289063","'91.40625000","'90.86914063","'92.52929688","'91.25976563","'93.94531250","'92.23632813","'93.11523438","'90.38085938",
"'92.48046875","'93.75000000","'91.89453125","'91.40625000","'93.06640625","'91.79687500","'94.48242188","'92.77343750","'93.65234375","'90.86914063",
"'91.60156250","'92.87109375","'91.01562500","'90.52734375","'92.13867188","'90.86914063","'93.55468750","'91.89453125","'92.77343750","'89.99023438",
"'91.79687500","'93.01757813","'91.21093750","'90.72265625","'92.33398438","'91.06445313","'93.75000000","'92.04101563","'92.96875000","'90.18554688",
